ranking,ticker,date,score_short,score_long,score_ens,top1_feature_group,top2_feature_group,top3_feature_group,top1_features,top2_features,top3_features
14,35720,2024-07-18,0.034051385,0.0,0.0170256925,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
15,4990,2024-07-18,0.033736493,0.0,0.0168682465,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
16,11210,2024-07-18,0.033587627,0.0,0.0167938135,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
17,282330,2024-07-18,0.032799866,0.0,0.016399933,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
18,80,2024-07-18,0.031587362,0.0,0.015793681,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
19,285130,2024-07-18,0.03147923,0.0,0.015739615,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
20,4170,2024-07-18,0.031157214,0.0,0.015578607,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
1,5930,2024-08-16,0.044047307,0.0,0.0220236535,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
2,5490,2024-08-16,0.03934035,0.0,0.019670175,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
3,32640,2024-08-16,0.038636383,0.0,0.0193181915,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
4,4020,2024-08-16,0.038207486,0.0,0.019103743,technical,esg,news,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
5,4990,2024-08-16,0.037669502,0.0,0.018834751,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
6,8770,2024-08-16,0.036224686,0.0,0.018112343,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
7,15760,2024-08-16,0.03429663,0.0,0.017148315,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
8,39130,2024-08-16,0.034194093,0.0,0.0170970465,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe"
9,4170,2024-08-16,0.033590972,0.0,0.016795486,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
10,30000,2024-08-16,0.033541713,0.0,0.0167708565,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
11,35720,2024-08-16,0.030815758,0.0,0.015407879,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
12,114090,2024-08-16,0.030750494,0.0,0.015375247,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
13,69960,2024-08-16,0.030428922,0.0,0.015214461,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
