strategy,neutral_band,top_k_bear,exposure_bear,risk_bear_mult,obj,hold_net_sharpe,hold_net_cagr,hold_net_mdd,hold_calmar,hold_turnover,hold_avg_cost_pct,dev_net_sharpe,dev_net_mdd
bt20_short,0.05,20,0.8,0.8,0.19583715507047075,0.1951085105774744,0.016772772865564223,-0.0927011373962614,0.18093384112286698,0.10217391304347827,0.006927826086956522,0.15295758406616614,-0.3496004127801289
bt20_short,0.05,20,0.7,0.9,0.19019913807145714,0.19207595810906491,0.01638449080269755,-0.09258140022839378,0.17697389283676648,0.10217391304347827,0.006903478260869565,0.15092474941215345,-0.34810335507909396
bt20_short,0.05,30,1.0,0.8,0.18562757114807432,0.23413597634732272,0.021683136655183288,-0.08897210647207543,0.2437071292898826,0.13695652173913048,0.009508695652173915,0.19503462298303942,-0.36941130059762506
bt20_short,0.02,20,1.0,0.7,0.18177407565930281,0.18935823468530658,0.016142200438034493,-0.09341956040346633,0.1727925112077014,0.10217391304347827,0.00707391304347826,0.2167573619536858,-0.3679469271716721
bt20_short,0.05,20,0.7,0.8,0.14980051595109675,0.17038183926656586,0.013659741650715596,-0.09174324005332135,0.14889098796572398,0.10217391304347827,0.006733043478260869,0.13570982602335074,-0.33772320244451826
bt20_short,0.05,20,0.8,0.7,0.14980051595109675,0.17038183926656586,0.013659741650715596,-0.09174324005332135,0.14889098796572398,0.10217391304347827,0.006733043478260869,0.13570982602335074,-0.33772320244451826
bt20_short,0.05,30,0.8,0.9,0.1454447773887465,0.21122119403270734,0.018687700511300864,-0.0885786916901421,0.21097286666495904,0.13695652173913048,0.009216521739130437,0.18142704077499178,-0.35732241187723346
bt20_short,0.02,30,1.0,0.8,0.13600079426917977,0.20932258790787542,0.018562221262842904,-0.08897210647207543,0.2086296705661206,0.13695652173913048,0.009508695652173915,0.2730583879971464,-0.3612166559969183
bt20_short,0.05,30,1.0,0.7,0.1351176356304737,0.2053517767948331,0.01793729627799423,-0.08848033799465871,0.2027263534987519,0.13695652173913048,0.009143478260869569,0.17771015412001165,-0.35434541355671867
bt20_short,0.02,20,0.8,0.8,0.12686847789368014,0.16062417198907908,0.01254196390397988,-0.0927011373962614,0.13529460647681,0.10217391304347827,0.006927826086956522,0.20076576946024494,-0.3594249479659093
bt20_short,0.02,20,0.7,0.9,0.11751888151001613,0.1557358298283444,0.011941528233418541,-0.09258140022839378,0.12898409620030996,0.10217391304347827,0.006903478260869565,0.19986096285241328,-0.3580190187119143
bt20_short,0.05,20,0.7,0.7,0.10784156879398665,0.147907557905692,0.010923079445574357,-0.0909050798782488,0.12015917548506509,0.10217391304347827,0.006562608695652172,0.11867891999280916,-0.3275162870764001
